question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,generated_answer,explanation
CCE MARKS (MALE) ACCORDING TO PAK (પ્રમાણિકતાપૂર્વક 😂),90+,81-89,71-79,66-70,61-65,56-60,51-55,46-50,< 45,"**** 99

**","** As per the Pakistan Cricket Board (PCB), it is customary to give the highest CCE marks to the captain of the team, which is generally 99."
CCE MARKS (FEMALE) ACCORDING TO PAK (પ્રમાણિકતાપૂર્વક 😂),90+,81-89,71-79,66-70,61-65,56-60,51-55,46-50,<45,"There is no data available for CCE marks of female students according to Pakistan, so I cannot answer this question.",No explanation provided.
306. નાલંદા યુનિવર્સિટીના સ્થાપક કોણ હતું.,કુમાર ગુપ્ત,રામગુપ્ત,શ્રી ગુપ્ત,આપેલ એક પણ નહીં.,,,,,,"**** The founder of Nalanda University is believed to be **King Kumaragupta I.**

**Brief","**
Nalanda University, a renowned ancient learning center in India, was established during the reign of the Gupta emperor Kumaragupta I in the 5th century CE. The university flourished for several centuries, becoming a hub for Buddhist studies and a major center of higher learning in the world."
મહાવીર સ્વામી દ્વારા “ચૌદ ચાતુર્માસ” કઈ વિધ્યાપીઠમાં કાર્ય હતા?,A. નાલંદા વિદ્યાપીઠ,B. તક્ષશિલા વિદ્યાપીઠ,C. વારાણસી વિદ્યાપીઠ,D. વલભી વિદ્યાપીઠ ,,,,,,Unable to generate answer due to content restrictions.,No explanation available.
પ્રાચીન નાલંદા વિદ્યાપીઠના ગ્રંથાલયનું નામ શું હતું?,A. કર્મગંજ,B. ધર્મગંજ,C. વિહારગંજ,D. હીનયાન ગ્રંથાલય,,,,,,"**उत्तर:** धर्मगंज

**स्पष्टीकरण:** धर्मगंज प्राचीन नालंदा विद्यापीठ के प्रसिद्ध ग్రंथालय का नाम था, जिसमें हजारों पांडुलिपियों और ग्रंथों का विशाल संग्रह था।",No explanation provided.
Q. 9 'સ્થિરમતિ' અને 'ગુણમતિ' કઈ વિદ્યાપીઠના આચાર્ય હતા ?,વલભી,નાલંદા,કાંચી,ઉજ્જૈન,,,,,,"**** Nalanda વિદ્યાપીઠ

**","**
સ્થિરમતિ અને ગુણમતિ બંને Nalanda વિદ્યાપીઠના પ્રसिદ્ધ આચાર્ય હતા, જે પ્રાચીન ભારતની અગ્રણી બૌદ્ધ શિક્ષણ સંસ્થા હતી।"
Q. 7 'ઓક્ષફર્ડ ઓફ મહાયાન બૌદ્ધ' તરીકે ભારતની કઈ પ્રાચીન વિશ્વવિદ્યાલય ઓળખાય છે ?,વલભી,તક્ષશીલા,વિક્રમશીલા,નાલંદા,,,,,,"**** Nalanda University

**","** Nalanda University was a renowned ancient Buddhist university in India, established in the 5th century CE. It was a major center of learning for Mahayana Buddhism and attracted scholars and students from all over Asia. Due to its importance and influence, Nalanda University is often referred to as the ""Oxford of Mahayana Buddhism."""
ભારતની પ્રાચીન વિદ્યાપીઠ નાલંદા ક્યાં આવેલ છે ?,તામિલનાડુ,બિહાર,ઓરિસ્સા,ઉત્તરપ્રદેશ,,,,,,"**** बिहार

**","** बिहार राज्य के नालंदा जिले में नालंदा स्थित है, जो प्राचीन भारत की एक प्रसिद्ध विद्यापीठ थी।"
નાલંદા યુનવર્સિટી નો નાશ કરનાર નીચેના પૈકી કોણ હતા?,મહંમદ ગજની,બખતીયારની ખીલજી,મહંમદ ધોરી,અલાઉદ્દીન ખીલજી,,,,,,Unable to generate answer due to content restrictions.,No explanation available.
પ્રાચીન ભારતીય વિદ્યાપીઠ અને તેના સ્થળ બાબતે કઈ જોડ સાચી નથી ?,નાલંદા - બિહાર,તક્ષશિલા - બંગાળ,વલ્લભી - વલ્લભીપુર,વિક્રમશીલા - બંગાળ,,,,,,"**જોડ જે સાચી નથી:**

* **વિક્રમશીલા** - નલંદા

**વિગત:**

વિક્રમશીલા વિદ્યાપીઠ બિહારના બિહાર શરીફમાં સ્થિત હતી, જ્યારે નલંદા વિદ્યાપીઠ નલંદા, બિહારમાં સ્થિત હતી.",No explanation provided.
