question,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9
CCE MARKS (MALE) ACCORDING TO PAK (પ્રમાણિકતાપૂર્વક 😂),90+,81-89,71-79,66-70,61-65,56-60,51-55,46-50,< 45
CCE MARKS (FEMALE) ACCORDING TO PAK (પ્રમાણિકતાપૂર્વક 😂),90+,81-89,71-79,66-70,61-65,56-60,51-55,46-50,<45
306. નાલંદા યુનિવર્સિટીના સ્થાપક કોણ હતું.,કુમાર ગુપ્ત,રામગુપ્ત,શ્રી ગુપ્ત,આપેલ એક પણ નહીં.,,,,,
મહાવીર સ્વામી દ્વારા “ચૌદ ચાતુર્માસ” કઈ વિધ્યાપીઠમાં કાર્ય હતા?,A. નાલંદા વિદ્યાપીઠ,B. તક્ષશિલા વિદ્યાપીઠ,C. વારાણસી વિદ્યાપીઠ,D. વલભી વિદ્યાપીઠ ,,,,,
પ્રાચીન નાલંદા વિદ્યાપીઠના ગ્રંથાલયનું નામ શું હતું?,A. કર્મગંજ,B. ધર્મગંજ,C. વિહારગંજ,D. હીનયાન ગ્રંથાલય,,,,,
Q. 9 'સ્થિરમતિ' અને 'ગુણમતિ' કઈ વિદ્યાપીઠના આચાર્ય હતા ?,વલભી,નાલંદા,કાંચી,ઉજ્જૈન,,,,,
Q. 7 'ઓક્ષફર્ડ ઓફ મહાયાન બૌદ્ધ' તરીકે ભારતની કઈ પ્રાચીન વિશ્વવિદ્યાલય ઓળખાય છે ?,વલભી,તક્ષશીલા,વિક્રમશીલા,નાલંદા,,,,,
ભારતની પ્રાચીન વિદ્યાપીઠ નાલંદા ક્યાં આવેલ છે ?,તામિલનાડુ,બિહાર,ઓરિસ્સા,ઉત્તરપ્રદેશ,,,,,
નાલંદા યુનવર્સિટી નો નાશ કરનાર નીચેના પૈકી કોણ હતા?,મહંમદ ગજની,બખતીયારની ખીલજી,મહંમદ ધોરી,અલાઉદ્દીન ખીલજી,,,,,
પ્રાચીન ભારતીય વિદ્યાપીઠ અને તેના સ્થળ બાબતે કઈ જોડ સાચી નથી ?,નાલંદા - બિહાર,તક્ષશિલા - બંગાળ,વલ્લભી - વલ્લભીપુર,વિક્રમશીલા - બંગાળ,,,,,
